Name            | Accuracy  | Precision | Recall    | f1-Score  | Kappa     |
Fox             | 0.994     | 0.974     | 0.978     | 0.976     | 0.972     |
Deer            | 0.992     | 0.994     | 0.989     | 0.991     | 0.972     |
Weasel          | 0.994     | 0.976     | 0.983     | 0.979     | 0.972     |
Bird            | 0.995     | 0.939     | 0.971     | 0.955     | 0.972     |
Lynx            | 0.998     | 0.956     | 0.97      | 0.963     | 0.972     |
Cat             | 0.999     | 0.957     | 0.923     | 0.94      | 0.972     |
Sheep           | 0.999     | 0.992     | 0.982     | 0.987     | 0.972     |
Rodent          | 0.991     | 0.96      | 0.959     | 0.959     | 0.972     |
Cattle          | 1.0       | 0.981     | 0.946     | 0.963     | 0.972     |
Boar            | 1.0       | 0.944     | 0.895     | 0.919     | 0.972     |
Wolf            | 1.0       | 0.991     | 0.956     | 0.973     | 0.972     |
Bear            | 1.0       | 0.909     | 0.909     | 0.909     | 0.972     |
