Name            | Accuracy  | Precision | Recall    | f1-Score  | Kappa     |
Fox             | 0.997     | 0.988     | 0.99      | 0.989     | 0.987     |
Deer            | 0.995     | 0.998     | 0.993     | 0.995     | 0.987     |
Weasel          | 0.997     | 0.99      | 0.99      | 0.99      | 0.987     |
Bird            | 0.998     | 0.979     | 0.99      | 0.984     | 0.987     |
Lynx            | 0.999     | 0.975     | 1.0       | 0.987     | 0.987     |
Cat             | 1.0       | 0.957     | 0.994     | 0.975     | 0.987     |
Sheep           | 1.0       | 0.996     | 1.0       | 0.998     | 0.987     |
Rodent          | 0.996     | 0.984     | 0.981     | 0.982     | 0.987     |
Cattle          | 1.0       | 0.895     | 1.0       | 0.945     | 0.987     |
Boar            | 1.0       | 0.974     | 1.0       | 0.987     | 0.987     |
Wolf            | 1.0       | 0.95      | 1.0       | 0.974     | 0.987     |
Bear            | 1.0       | 0.727     | 1.0       | 0.842     | 0.987     |
